0,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
15,16,F,YTBUOEE,Town,Basic Membership,09-07-2017,?,CID35062,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13:48:22,-999,30.14,18792.31,7,141.5132013,Yes,No,Yes,Unsolved,Too many ads,1
16,57,F,RZ6TPTR,City,No Membership,27-01-2016,No,xxxxxxxx,Without Offers,?,Wi-Fi,20:58:28,5,333.34,47241.32,8,,Yes,Yes,Yes,Solved in Follow-up,Too many ads,1
17,11,M,3GHN9RC,Town,Silver Membership,02-01-2017,Yes,CID22930,Gift Vouchers/Coupons,?,Wi-Fi,03:42:26,12,275.13,29072.86,26,733.97,Yes,No,No,Not Applicable,Poor Customer Service,0
18,39,M,DYK6E24,Town,No Membership,01-11-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15:39:05,9,241.74,33170.16,6,551.11,Yes,No,Yes,No Information Available,No reason specified,1
19,45,M,XYB1CDG,City,Premium Membership,03-02-2016,No,xxxxxxxx,Without Offers,?,Mobile_Data,11:46:54,14,31.15,66982.61,8,164.800769,Yes,No,Yes,Unsolved,Products always in Stock,0
20,33,M,7L21LW8,Village,No Membership,03-12-2015,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,18:50:35,15,49.86,44289.97,25,703.96,Yes,No,No,Not Applicable,Poor Customer Service,1
21,30,M,B6OEP7V,Village,No Membership,29-07-2016,Yes,CID53809,Gift Vouchers/Coupons,Smartphone,Mobile_Data,08:55:48,21,30.37,49404.86,23,630.61,Yes,No,Yes,No Information Available,Poor Website,1
22,19,F,6EV1QAQ,Town,Platinum Membership,22-01-2017,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,23:04:40,15,483.03,52702.67,3,389.3564432,No,Yes,Yes,No Information Available,User Friendly Website,0
23,48,M,GX2SOJ5,Town,Basic Membership,10-11-2017,Yes,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,19:10:29,12,72.52,15860.41,3.207385793,529.03,No,Yes,No,Not Applicable,No reason specified,0
24,43,M,X0YDRG9,City,No Membership,14-08-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,06:23:02,17,108.3,21725.57,21,225.0044276,No,Yes,No,Not Applicable,Poor Website,1
25,29,F,5SWULVO,Town,Silver Membership,09-04-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,20:56:20,18,300.38,12069.06,7,777.31,No,Yes,No,Not Applicable,Too many ads,0
26,10,M,3I9LEFE,City,Gold Membership,10-11-2015,Yes,CID60798,Credit/Debit Card Offers,?,Wi-Fi,17:25:38,1,100.65,8515.5,6,757.7,Yes,No,No,Not Applicable,No reason specified,0
27,20,F,UOAPI3L,Village,No Membership,08-12-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:29:25,22,272.31,42743.44,12,687.26,Yes,No,No,Not Applicable,Poor Product Quality,1
28,61,F,QUU2V55,Village,Silver Membership,14-05-2017,?,CID29752,Gift Vouchers/Coupons,?,Fiber_Optic,07:48:25,17,-936.7448179,29156.1,10,710.38,Yes,No,Yes,No Information Available,No reason specified,1
29,10,M,96ZHX6P,Town,Gold Membership,12-01-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,10:16:14,4,127.37,15719.24,10,634.88,Yes,No,Yes,Unsolved,Poor Website,1
30,17,F,KX657II,City,No Membership,25-11-2015,?,CID40054,Without Offers,Desktop,Fiber_Optic,21:06:46,20,162.93,31100.95,11,633.05,No,Yes,Yes,Solved,Too many ads,1
31,60,M,PBUM281,Town,No Membership,02-11-2016,Yes,CID12220,Without Offers,Desktop,Fiber_Optic,20:03:13,18,498.09,48125.94,27,,No,Yes,No,Not Applicable,Poor Product Quality,1
32,11,F,ZYEBIID,,Gold Membership,28-07-2016,Yes,CID26584,Without Offers,Desktop,Wi-Fi,09:36:43,10,185.53,60143.68,4,836.08,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0
33,60,M,EUGPHWZ,City,Gold Membership,02-07-2017,Yes,CID45046,Gift Vouchers/Coupons,Both,Fiber_Optic,02:31:33,11,537.25,1773.49,6,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,0
34,12,M,ZQJOXJX,City,Premium Membership,02-03-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,21:45:25,8,198.26,26105.24,7,721.36,Yes,No,No,Not Applicable,Poor Customer Service,0
35,52,M,C229QZZ,Town,Silver Membership,08-10-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,23:17:22,9,119.47,10101.48,28,158.5477645,Yes,No,No,Not Applicable,Poor Website,1
36,30,M,U49RAKX,City,Basic Membership,13-10-2016,Yes,CID37735,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:46:55,15,68.19,21111.9,23,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
37,26,M,06HDP63,,No Membership,29-11-2017,Yes,CID39260,Without Offers,Desktop,Wi-Fi,14:55:59,3,215.89,41979.65,9,,No,Yes,No,Not Applicable,Too many ads,1
38,26,F,FRAOIDA,Town,No Membership,01-07-2017,Yes,CID26444,Without Offers,Desktop,Wi-Fi,04:16:41,20,194.85,5912.06,13,568.34,Yes,No,No,Not Applicable,Too many ads,1
39,49,F,M9F3TE2,Village,Platinum Membership,09-06-2017,Yes,CID18445,Credit/Debit Card Offers,Both,Fiber_Optic,23:11:17,8,706.36,19062.25,Error,780.58,Yes,No,No,Not Applicable,Poor Product Quality,0
40,24,M,FRLCXCJ,City,Premium Membership,10-10-2016,?,CID53825,Without Offers,Desktop,Fiber_Optic,21:06:08,15,210.44,35531.98,25,745.49,Yes,No,No,Not Applicable,Poor Product Quality,0
41,22,M,YNN4REK,Town,No Membership,02-06-2017,Yes,CID48405,Without Offers,?,Wi-Fi,00:22:50,4,-930.2078443,8415.63,17,650.44,No,Yes,Yes,Solved in Follow-up,Too many ads,1
42,33,F,DE6ERGA,Town,Premium Membership,02-02-2017,?,CID44139,Credit/Debit Card Offers,Desktop,Wi-Fi,05:06:03,12,394.26,34697.85,19,752.3,Yes,No,Yes,No Information Available,Poor Website,0
43,17,M,EJMEVHN,City,Platinum Membership,20-12-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,01:51:39,6,348.07,94100.72,4,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,0
44,36,M,C7QZITU,Village,Silver Membership,28-11-2016,Yes,CID33962,Gift Vouchers/Coupons,?,Mobile_Data,06:06:05,2,691.09,17989.46,Error,,No,Yes,Yes,Solved,No reason specified,1
45,12,M,B1XF70C,City,Premium Membership,13-02-2017,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,22:27:40,8,33.09,55607.35,Error,,Yes,No,No,Not Applicable,User Friendly Website,0
46,58,F,FBG1O5D,Village,Gold Membership,09-11-2017,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,21:21:14,11,30.78,48080.03,10,713.62,Yes,No,No,Not Applicable,Poor Product Quality,0
47,41,M,ZQ2RGSW,Town,Platinum Membership,20-11-2016,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,23:21:15,13,282.87,27528.03,27,743.8,Yes,No,No,Not Applicable,Poor Website,0
48,30,M,TER02YR,City,Platinum Membership,11-12-2015,?,CID4129,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14:13:01,20,100.42,86433.91,Error,719.93,No,Yes,Yes,Unsolved,Reasonable Price,0
49,50,M,HXIGRU3,City,Premium Membership,25-10-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,03:10:02,18,154.7,24197.4,29,,No,Yes,Yes,Solved,Too many ads,0
50,23,M,UAAYTIM,Village,Gold Membership,22-10-2015,Yes,CID24995,Without Offers,?,Wi-Fi,14:01:02,10,65.25,5136.08,Error,755.22,No,Yes,No,Not Applicable,Poor Customer Service,0
51,38,M,B2MID6G,Town,Gold Membership,15-10-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12:05:44,8,324.75,28535.13,27,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,0
52,20,M,PC7X217,City,Silver Membership,27-01-2015,Yes,CID23945,Without Offers,Desktop,Fiber_Optic,04:11:19,16,237.39,25000.09,16,704.4,No,Yes,No,Not Applicable,Poor Website,1
53,35,F,EER61FP,Village,Gold Membership,30-10-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,05:36:03,20,148.24,30984.56,11,729.04,Yes,No,No,Not Applicable,Poor Customer Service,0
54,43,M,KJLXRJ7,Town,Premium Membership,26-04-2017,Yes,xxxxxxxx,Without Offers,Both,Wi-Fi,03:32:50,16,773.83,9091.94,20,700.4,No,Yes,No,Not Applicable,Poor Product Quality,0
55,32,M,C0LKXD6,City,Silver Membership,24-07-2017,Yes,CID30236,Without Offers,?,Fiber_Optic,02:35:02,13,117.68,19822.82,43.3600415,,Yes,No,No,Not Applicable,Too many ads,0
56,40,F,KA10KAJ,Town,Platinum Membership,22-08-2015,?,CID4999,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:27:38,18,251.06,63416.63,12,1087.184702,No,Yes,Yes,Solved in Follow-up,Products always in Stock,0
57,40,F,1C5WWL9,Town,Silver Membership,21-08-2017,Yes,CID15992,Credit/Debit Card Offers,Smartphone,Wi-Fi,02:12:51,-999,46.57,24045.93,8,709.73,No,Yes,No,Not Applicable,Poor Product Quality,0
58,48,F,LLPKTT3,Town,No Membership,17-03-2017,?,CID56231,Credit/Debit Card Offers,Smartphone,Wi-Fi,08:24:51,12,539.49,49270.76,12,503.95,Yes,No,No,Not Applicable,Too many ads,1
59,35,M,MVC3XG0,Town,Premium Membership,11-05-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,09:20:14,12,34.48,48679.07,6,779.59,Yes,No,No,Not Applicable,Poor Product Quality,0
60,28,M,X54XOQB,Village,Gold Membership,17-05-2017,Yes,CID11661,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,09:42:14,9,-615.344319,13131.05,13,820.91,Yes,Yes,No,Not Applicable,Quality Customer Care,0
61,44,F,YN0D4XB,,No Membership,23-08-2016,Yes,CID35687,Without Offers,Both,Wi-Fi,22:22:17,13,283.49,7603.71,Error,553.45,Yes,Yes,Yes,Unsolved,No reason specified,1
62,40,M,EY34UCV,Town,Premium Membership,31-01-2017,?,CID15184,Gift Vouchers/Coupons,Desktop,Fiber_Optic,14:31:59,3,33.82,39735.58,25,784.32,Yes,No,Yes,No Information Available,Too many ads,0
63,18,F,WGKRXHK,City,Basic Membership,17-06-2016,Yes,CID29938,Credit/Debit Card Offers,Smartphone,Mobile_Data,21:33:45,20,156.06,4783.23,28.75639925,597.87,Yes,No,Yes,No Information Available,Too many ads,0
64,10,M,PXDXAK3,,Basic Membership,08-06-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11:07:18,12,31.67,25436.23,Error,656.67,No,Yes,No,Not Applicable,Poor Website,1
65,35,M,U2S0ZMS,Town,No Membership,27-11-2017,Yes,CID23426,Without Offers,Smartphone,Mobile_Data,22:34:23,4,157.03,22975.33,18,548.1,No,Yes,No,Not Applicable,Poor Website,1
66,43,M,11SAVWA,Town,No Membership,06-04-2015,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,13:41:04,11,227.23,29602.15,24,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,1
67,28,M,DL6BE96,Village,Basic Membership,29-10-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:46:58,4,457.33,20883.28,14,-549.3574977,No,Yes,No,Not Applicable,Too many ads,1
68,53,M,UZELBS2,Town,Platinum Membership,27-01-2017,No,xxxxxxxx,Without Offers,?,Fiber_Optic,12:50:50,6,228.02,46353.54,19,302.0058985,Yes,No,Yes,No Information Available,No reason specified,0
69,55,F,BTESGNH,Town,Premium Membership,03-09-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,22:22:34,18,42.77,8996.95,Error,749.56,Yes,No,Yes,Unsolved,Poor Website,0
70,59,F,A3SG5HG,Town,No Membership,08-06-2017,Yes,CID8099,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10:53:03,-999,207.52,12556.28,10,-44.59763258,No,Yes,No,Not Applicable,No reason specified,1
71,39,M,BFC2STE,City,No Membership,01-12-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,04:04:47,13,98.57,2645.63,23,674.42,No,Yes,No,Not Applicable,Poor Product Quality,1
72,11,M,K9534WF,City,Gold Membership,22-06-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,01:42:15,23,176.31,8983.02,25,707.46,No,Yes,Yes,Solved,Poor Product Quality,1
73,37,M,VORACOL,Village,No Membership,17-05-2016,?,CID13799,Without Offers,Both,Mobile_Data,03:29:16,17,687.16,29101.96,18,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,1
74,53,M,G64J9NC,City,No Membership,06-04-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,06:24:30,-999,253.96,19233.1,25,1032.199126,Yes,No,Yes,Solved,Poor Website,1
75,57,M,7JC7H9M,Town,No Membership,02-01-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,03:26:00,13,119.1,44341.82,Error,563.92,Yes,No,Yes,No Information Available,Poor Customer Service,1
76,47,M,YIF4UTM,Town,Silver Membership,22-07-2015,?,CID5998,Without Offers,?,Wi-Fi,17:26:06,10,131.86,26399.43,17,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,0
77,50,M,148CAFB,Town,Gold Membership,21-01-2015,Yes,CID60579,Credit/Debit Card Offers,Desktop,Wi-Fi,18:29:15,19,65.39,17054.69,21,353.3690015,No,Yes,Yes,Solved,No reason specified,0
78,49,F,IJ500YB,City,Silver Membership,25-08-2016,Yes,CID31774,Gift Vouchers/Coupons,?,Wi-Fi,10:39:05,3,74.9,41612.23,28,1196.569315,No,Yes,Yes,Solved in Follow-up,No reason specified,1
79,54,M,XR0FV22,Town,Silver Membership,21-06-2017,?,CID58493,Credit/Debit Card Offers,Smartphone,Mobile_Data,04:30:27,20,-687.629574,42060.89,24,684.69,Yes,No,Yes,No Information Available,Poor Website,1
80,30,M,U545PNM,Village,Gold Membership,17-09-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,10:45:58,9,97.74,32347.7,27,,No,Yes,No,Not Applicable,Poor Customer Service,0
81,25,F,RAVGVDP,City,Silver Membership,20-08-2015,?,xxxxxxxx,Without Offers,?,Mobile_Data,04:45:26,13,135.21,3561.26,17,,Yes,No,Yes,Solved,Too many ads,0
82,53,F,VDCZUD5,City,Premium Membership,02-04-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,21:35:56,18,172.99,9044.15,8,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
83,54,M,KUJNEI7,,Basic Membership,07-08-2015,Yes,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19:26:54,13,254.72,11345.66,7,572.41,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
84,62,F,UHDKJ4T,City,No Membership,13-10-2016,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,07:55:41,5,304.52,47658.52,29,699.19,No,Yes,Yes,Solved,Too many ads,1
85,55,M,E1EYCEB,City,Platinum Membership,14-04-2015,Yes,CID47303,Credit/Debit Card Offers,Both,Mobile_Data,22:44:04,1,1316.52,2367.56,25,441.8365499,Yes,No,No,Not Applicable,No reason specified,0
86,30,F,D489TNE,,No Membership,13-11-2017,?,CID44952,Credit/Debit Card Offers,Desktop,Wi-Fi,08:37:37,13,264.54,40756.7,26,628.31,Yes,No,No,Not Applicable,Too many ads,1
87,30,M,26RJY6I,City,Silver Membership,03-06-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,02:48:44,12,191.41,25575.44,Error,648.68,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
88,51,M,0LS5PB4,Town,Premium Membership,10-12-2015,Yes,CID27690,Without Offers,Desktop,Wi-Fi,10:11:22,13,135.09,48819.9,8,,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0
89,29,M,FKA8V9P,Village,Silver Membership,07-11-2017,Yes,CID13740,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,05:44:02,12,123.37,13032.52,6,,Yes,No,No,Not Applicable,No reason specified,1
90,16,M,S6B5HER,City,Silver Membership,06-11-2017,?,CID62149,Gift Vouchers/Coupons,Desktop,Fiber_Optic,06:48:52,9,355.31,20457.22,5,1233.769727,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,0
91,25,F,IHGGCOB,Village,Gold Membership,18-05-2017,Yes,CID4642,Without Offers,Smartphone,Mobile_Data,15:00:18,11,31.88,35414.54,20,788.67,No,Yes,No,Not Applicable,No reason specified,0
92,62,F,8EC483J,City,Basic Membership,06-07-2017,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,10:16:47,14,125,38802.24,28,,No,Yes,Yes,Unsolved,No reason specified,1
93,24,F,7VI8S2N,Town,Premium Membership,29-08-2017,Yes,CID40499,Without Offers,Desktop,Fiber_Optic,20:42:49,5,181.34,43554.96,1,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
94,48,M,0FXRTQ3,City,No Membership,27-03-2015,Yes,CID29095,,Desktop,Mobile_Data,18:59:30,8,960.62,13954.02,17,631.15,No,Yes,Yes,Solved,Poor Customer Service,1
95,56,M,CFXGFEO,Village,Basic Membership,22-08-2017,Yes,CID11447,Credit/Debit Card Offers,Desktop,Wi-Fi,18:27:08,24,48.59,28071.04,16,533.05,No,Yes,Yes,Solved,Poor Website,1
96,17,M,Y2PJ70L,,Basic Membership,28-12-2016,Yes,CID52970,Credit/Debit Card Offers,Desktop,Wi-Fi,13:52:30,12,30.12,15027.14,12,,No,Yes,No,Not Applicable,No reason specified,1
97,23,F,JAWMYHN,Town,Gold Membership,04-08-2016,Yes,CID3210,Without Offers,Desktop,Wi-Fi,10:53:56,21,727.69,4919.72,13,758.83,Yes,Yes,No,Not Applicable,Too many ads,0
98,42,F,V8LT71V,City,No Membership,23-06-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,12:35:00,3,419.51,14661.42,Error,404.4897584,No,Yes,Yes,Solved in Follow-up,No reason specified,1
99,59,M,OOEQJ9E,Village,Gold Membership,01-09-2015,Yes,CID45337,Without Offers,Both,Mobile_Data,00:41:03,8,899.04,49614.88,23,758.69,Yes,No,No,Not Applicable,Poor Website,0
100,18,M,WXJCO6L,Town,Basic Membership,22-12-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,05:19:35,11,293.42,2521.3,Error,964.8409708,Yes,No,Yes,No Information Available,Poor Customer Service,1
101,23,M,XDANU0N,City,Gold Membership,21-06-2015,Yes,CID44094,Credit/Debit Card Offers,Desktop,Wi-Fi,07:05:14,10,934.3542198,11955.94,24,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,1
102,52,F,0B93V8I,City,Basic Membership,13-11-2017,Yes,CID60201,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:27:36,4,826.51,14877.24,25,522.61,Yes,No,No,Not Applicable,Poor Customer Service,1
103,49,F,80X3LBS,Town,Premium Membership,02-09-2016,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,16:09:53,21,115.41,41156.81,27,741.02,No,Yes,No,Not Applicable,Poor Customer Service,0
104,30,M,WX9FMKD,,Premium Membership,14-05-2017,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,01:07:51,7,481.45,4207.45,28,776.36,Yes,Yes,No,Not Applicable,Poor Customer Service,0
105,31,F,FXTLHJO,Town,Basic Membership,18-08-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:40:33,14,148.95,2364.45,Error,634.51,No,Yes,No,Not Applicable,Too many ads,1
106,27,M,1Q644S2,City,Silver Membership,23-10-2016,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,19:13:01,21,357.45,29825.45,9,665.63,No,Yes,Yes,Solved,Poor Website,1
107,56,M,DEN5T45,City,Gold Membership,24-04-2016,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,02:55:41,21,1386.232857,9454.17,19,778.27,Yes,No,No,Not Applicable,Too many ads,0
108,11,M,HO7SVW2,,Silver Membership,24-08-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,10:45:18,15,96.14,11995.93,19,207.169769,Yes,No,No,Not Applicable,Poor Customer Service,1
109,31,F,8AWVLE2,Town,Silver Membership,13-04-2017,No,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,18:41:44,10,428.05,6325.08,28,80.09369313,No,Yes,No,Not Applicable,Poor Product Quality,1
110,29,M,VLT3N4A,Town,Premium Membership,07-05-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,10:59:38,14,42.48,16098.94,21,766.85,Yes,No,Yes,Solved,Poor Website,0
111,31,F,W20NHNO,City,Silver Membership,20-04-2016,Yes,CID42557,Without Offers,Smartphone,Wi-Fi,10:24:44,24,33.91,23226.43,7,762.48,No,Yes,Yes,Solved,Poor Customer Service,0
112,11,F,PB5J0JP,Town,Basic Membership,10-03-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:23:20,8,1060.527979,10990.31,16,271.7143813,Yes,No,No,Not Applicable,Poor Product Quality,1
113,14,M,0ISW03K,Town,Basic Membership,19-07-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,15:34:53,-999,1156.431904,32302.27,24,520.33,No,Yes,No,Not Applicable,Poor Customer Service,1
114,26,M,ELWT1XG,City,Silver Membership,14-11-2017,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,09:43:15,7,187.91,17002.23,11,700.11,No,Yes,No,Not Applicable,Too many ads,0
115,62,M,TS6F948,,Premium Membership,09-01-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,04:35:00,10,284.09,48305.86,Error,730.05,No,Yes,No,Not Applicable,Poor Website,0
116,51,M,LOSAGM2,Village,Platinum Membership,22-09-2017,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,16:51:53,3,-494.0838771,40667.27,19,809.83,Yes,No,No,Not Applicable,Reasonable Price,0
117,43,F,DTMKCNR,Village,Silver Membership,12-12-2016,Yes,CID9864,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20:43:54,20,-771.4156089,16186.76,8,633.22,Yes,No,No,Not Applicable,Poor Customer Service,1
118,23,M,ZS5JITE,Town,Gold Membership,17-03-2016,?,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12:10:42,12,109.76,46102.66,8,783.03,Yes,No,No,Not Applicable,Poor Product Quality,0
119,57,M,CZKAGUY,Town,Gold Membership,30-08-2015,Yes,CID11739,Gift Vouchers/Coupons,Desktop,Wi-Fi,12:52:22,-999,56.63,10171.97,23,757.61,Yes,No,Yes,Solved in Follow-up,No reason specified,0
120,17,M,F0CC3JK,,Gold Membership,12-11-2015,Yes,CID27651,Gift Vouchers/Coupons,Smartphone,Wi-Fi,22:48:57,21,81.15,46109.6,17,270.467656,Yes,No,No,Not Applicable,No reason specified,1
121,42,M,MWN21KT,City,Platinum Membership,08-06-2015,Yes,CID36216,Credit/Debit Card Offers,Smartphone,Wi-Fi,16:48:16,10,1195.732666,31504.62,10,1207.253729,Yes,No,No,Not Applicable,Poor Customer Service,0
